height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,assistCross,assistCorner,assistThroughball,assistFreekick,assistThrowin,assistOther,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,assist,ranking
190,0,24,false,true,-DC-,D(C),England,gb-eng,EPL,17,0,0,0,0,0,0,1,Nathaniel Phillips,Nathaniel,Phillips,381527,Defender,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.291176470588236,1456,1,11
180,80,30,false,true,-MC-,M(C),England,de,EPL,28,0,2,0,0,1,0,0,Ilkay Gündogan,Ilkay,Gündogan,77464,Midfielder,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.287142857142856,2031,2,12
183,78,28,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,kr,EPL,37,0,3,2,0,0,0,7,Son Heung-Min,Heung-Min,Son,91909,Forward,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.269189189189189,3127,10,13
183,74,24,false,true,-DMC-,DMC,England,ng,EPL,26,0,0,0,1,0,0,3,Wilfred Ndidi,Wilfred,Ndidi,327683,Midfielder,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.248076923076923,2179,4,14
175,62,28,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,gb-eng,EPL,16,0,0,0,0,1,0,3,Jesse Lingard,Jesse,Lingard,109000,Midfielder,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.22125,1426,4,15
176,68,24,false,true,-AML-AMR-,AM(LR),England,br,EPL,30,0,3,3,0,0,0,6,Raphinha,Raphael,Dias Belloli,300447,Forward,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.218000000000001,2364,9,16
170,69,26,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,gb-eng,EPL,31,0,0,0,0,0,0,7,Raheem Sterling,Raheem,Sterling,97692,Forward,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.216774193548388,2537,7,17
180,75,29,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,co,EPL,23,0,3,2,1,1,0,0,James Rodríguez,James,Rodríguez,71182,Midfielder,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.214782608695652,1776,4,18
180,70,25,false,true,-AML-AMR-FW-,"AM(LR),FW",England,gb-eng,EPL,37,0,0,0,0,0,0,5,Ollie Watkins,Ollie,Watkins,148503,Forward,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.175945945945947,3329,5,19
191,77,25,false,true,-DC-DL-,D(CL),England,gb-eng,EPL,7,0,0,0,0,0,0,0,Kortney Hause,Kortney,Hause,134207,Defender,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.170000000000001,630,0,20
191,82,25,false,true,-DMC-,DMC,England,es,EPL,34,0,0,0,0,0,0,2,Rodri,Rodrigo,Hernández Cascante,303139,Midfielder,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.169999999999999,2749,2,21
180,82,31,false,true,-DR-FW-MC-ML-MR-,"D(R),M(CLR),FW",England,gb-eng,EPL,26,0,0,0,0,0,0,5,Michail Antonio,Michail,Antonio,69517,Forward,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.166538461538462,1984,5,22
187,71,24,false,true,-AML-FW-,"AM(L),FW",England,gb-eng,EPL,33,0,0,0,0,0,0,0,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,141469,Forward,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.165757575757575,2876,0,23
183,75,23,false,true,-DC-,D(C),England,ie,EPL,3,0,0,0,0,0,0,0,Jimmy Dunne,Jimmy,Dunne,366743,Defender,184,Burnley,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.156666666666666,270,0,24
183,72,23,false,true,-DR-MR-,"D(R),M(R)",England,gb-eng,EPL,34,0,1,0,0,0,0,3,Aaron Wan-Bissaka,Aaron,Wan-Bissaka,331924,Defender,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.150294117647062,3060,4,25
171,70,21,false,true,-AMC-AML-AMR-,AM(CLR),England,gb-eng,EPL,28,0,0,0,0,0,0,5,Phil Foden,Phil,Foden,331254,Midfielder,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.1375,1614,5,26
179,71,21,false,true,-MC-,M(C),England,gb-eng,EPL,14,0,0,0,0,0,0,0,Joseph Willock,Joseph,Willock,342563,Midfielder,23,Newcastle United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.131428571428572,980,0,27
180,70,23,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,gb-eng,EPL,37,0,3,0,0,0,0,6,Marcus Rashford,Marcus,Rashford,300299,Forward,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.127027027027025,2928,9,28
174,70,30,false,true,-MC-,M(C),England,es,EPL,24,0,0,0,0,0,0,0,Thiago,Thiago,Alcántara do Nascimento,74939,Midfielder,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.120833333333334,1858,0,29
173,67,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,fr,EPL,25,0,1,0,0,0,0,3,Allan Saint-Maximin,Allan,Saint-Maximin,135891,Forward,23,Newcastle United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.1156,1568,4,30
175,73,24,false,true,-AML-AMR-FW-,"AM(LR),FW",England,br,EPL,29,0,1,0,0,0,0,3,Gabriel Jesus,Gabriel Fernando,de Jesus,279379,Forward,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.11448275862069,2060,4,31
172,69,21,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,pt,EPL,31,0,4,2,1,0,0,1,Pedro Neto,Pedro,Lomba Neto,337916,Forward,161,Wolverhampton Wanderers,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.112903225806451,2559,6,32
178,72,25,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,es,EPL,37,0,2,0,0,0,0,0,Adama Traoré,Adama,Traoré,140088,Forward,161,Wolverhampton Wanderers,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.1091891891891885,2645,2,33
181,76,29,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,br,EPL,36,0,0,0,0,0,0,7,Roberto Firmino,Roberto Firmino,Barbosa de Oliveira,96182,Forward,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.107777777777777,2852,7,34
179,74,34,false,true,-AML-FW-,"AM(L),FW",England,gb-eng,EPL,34,0,0,0,0,0,0,9,Jamie Vardy,Jamie,Vardy,106981,Forward,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.105588235294117,2846,9,35
184,82,29,false,true,-GK-,GK,England,au,EPL,3,0,0,0,0,0,0,0,Mat Ryan,Mat,Ryan,81523,Goalkeeper,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.103333333333333,270,0,36
176,72,24,false,true,-MC-,M(C),England,be,EPL,38,0,1,0,1,0,0,2,Youri Tielemans,Youri,Tielemans,136345,Midfielder,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.086842105263158,3358,4,37
178,74,27,false,true,-DC-DL-ML-,"D(CL),M(L)",England,fr,EPL,30,0,5,1,0,1,0,2,Lucas Digne,Lucas,Digne,89925,Defender,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.081666666666665,2682,7,38
190,83,30,false,true,-FW-,FW,England,be,EPL,30,0,0,0,0,0,0,1,Christian Benteke,Christian,Benteke,68312,Forward,162,Crystal Palace,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.078000000000001,1819,1,39
173,64,26,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,pt,EPL,26,0,1,0,0,0,0,5,Bernardo Silva,Bernardo Mota,Veiga de Carvalho e Silva,136741,Midfielder,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.074615384615385,2071,6,40
190,96,26,false,true,-DC-DR-,D(CR),England,fr,EPL,24,0,0,0,0,0,0,0,Kurt Zouma,Kurt,Zouma,106086,Defender,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.071249999999999,2025,0,41
180,88,26,false,true,-MC-ML-MR-,M(CLR),England,gb-eng,EPL,21,0,0,0,0,0,0,1,Solly March,Solly,March,122926,Midfielder,211,Brighton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0685714285714285,1675,1,42
173,66,26,false,true,-MC-MR-,M(CR),England,gb-eng,EPL,38,0,6,4,0,3,0,0,James Ward-Prowse,James,Ward-Prowse,105172,Midfielder,18,Southampton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.065789473684212,3420,7,43
175,71,29,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,eg,EPL,37,0,2,0,0,0,0,3,Mohamed Salah,Mohamed,Salah Ghaly,108226,Forward,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0654054054054045,3082,5,44
180,73,29,false,true,-DC-,D(C),England,gb-sct,EPL,25,0,0,0,0,0,0,0,Liam Cooper,Liam,Cooper,44148,Defender,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0636,2188,0,45
190,86,34,false,true,-GK-,GK,England,es,EPL,3,0,0,0,0,0,0,0,Kiko Casilla,Francisco,Casilla Cortés,23154,Goalkeeper,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0633333333333335,270,0,46
176,76,28,false,true,-DC-DL-DR-MR-,"D(CLR),M(R)",England,ci,EPL,19,0,0,0,1,0,0,2,Serge Aurier,Serge,Aurier,83683,Defender,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.056842105263159,1609,3,47
191,84,28,false,true,-MC-ML-,M(CL),England,fr,EPL,26,0,0,0,0,0,0,3,Paul Pogba,Paul,Pogba,97752,Midfielder,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0565384615384605,1896,3,48
194,100,28,false,true,-DC-,D(C),England,gb-eng,EPL,34,0,0,0,0,0,0,1,Harry Maguire,Harry,Maguire,99487,Defender,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.042352941176471,3048,1,49
188,70,27,false,true,-DC-DR-,D(CR),England,gb-eng,EPL,22,0,0,0,0,0,0,0,John Stones,John,Stones,101374,Defender,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.033636363636362,1934,0,50
183,80,23,false,true,-DC-DL-DR-ML-MR-,"D(CLR),M(LR)",England,gb-eng,EPL,23,0,1,0,0,0,0,0,James Justin,James,Justin,301441,Defender,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.03304347826087,2070,1,51
185,75,25,false,true,-DC-DL-ML-,"D(CL),M(L)",England,gb-eng,EPL,32,0,5,0,0,1,0,0,Luke Shaw,Luke,Shaw,118244,Defender,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0328124999999995,2657,5,52
185,71,27,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,gb-eng,EPL,38,0,0,0,2,0,0,5,Patrick Bamford,Patrick,Bamford,109670,Forward,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.027631578947367,3066,7,53
178,74,22,false,true,-GK-,GK,England,ie,EPL,2,0,0,0,0,0,0,0,Caoimhin Kelleher,Caoimhin,Kelleher,322176,Goalkeeper,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.025,180,0,54
185,81,28,false,true,-DC-,D(C),England,gb-eng,EPL,36,0,0,0,0,0,0,0,James Tarkowski,James,Tarkowski,131464,Defender,184,Burnley,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0216666666666665,3240,0,55
190,85,28,false,true,-DC-DR-,D(CR),England,de,EPL,19,0,0,0,0,0,0,0,Antonio Rüdiger,Antonio,Rüdiger,104010,Defender,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.019473684210527,1710,0,56
175,69,22,false,true,-DR-MR-,"D(R),M(R)",England,gb-eng,EPL,36,0,5,1,0,1,0,2,Trent Alexander-Arnold,Trent,Alexander-Arnold,318871,Defender,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.015,3033,7,57
190,0,20,false,true,-DC-,D(C),England,fr,EPL,28,0,0,0,0,0,0,0,Wesley Fofana,Wesley,Fofana,373946,Defender,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.014642857142856,2265,0,58
185,76,22,false,true,-DC-DMC-,"D(C),DMC",England,gb-eng,EPL,32,0,0,0,0,0,0,1,Declan Rice,Declan,Rice,332325,Midfielder,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0143749999999985,2880,1,59
178,72,25,false,true,-DC-DMC-,"D(C),DMC",England,gb-eng,EPL,29,0,0,0,1,0,0,1,Kalvin Phillips,Kalvin,Phillips,270446,Midfielder,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.009655172413794,2431,2,60
175,73,24,false,true,-AMC-AML-AMR-,AM(CLR),England,gb-eng,EPL,31,0,1,0,1,0,0,3,James Maddison,James,Maddison,137015,Midfielder,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.003870967741937,2105,5,61
178,77,24,false,true,-DL-ML-,"D(L),M(L)",England,gb-eng,EPL,27,0,3,0,0,0,0,2,Ben Chilwell,Ben,Chilwell,299272,Defender,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.003703703703705,2290,5,62
195,88,28,false,true,-GK-,GK,England,ar,EPL,38,0,0,0,0,0,0,0,Emiliano Martínez,Emiliano,Martínez,102248,Goalkeeper,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0005263157894735,3420,0,63
184,78,25,false,true,-DMC-,DMC,England,cm,EPL,36,0,0,0,2,0,0,1,André-Frank Zambo Anguissa,André-Frank,Zambo Anguissa,349561,Midfielder,170,Fulham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.985277777777778,2587,3,64
182,80,24,false,true,-MC-,M(C),England,ml,EPL,36,0,0,0,0,0,0,0,Yves Bissouma,Yves,Bissouma,303096,Midfielder,211,Brighton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.984722222222222,3114,0,65
184,83,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,br,EPL,34,0,0,0,0,0,0,3,Richarlison,Richarlison,de Andrade,317804,Forward,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.982058823529411,2872,3,66
174,66,23,false,true,-AMC-AML-,AM(CL),England,gb-eng,EPL,25,0,0,0,0,0,0,4,Harvey Barnes,Harvey,Barnes,331382,Midfielder,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.975599999999999,1950,4,67
181,71,28,false,true,-DL-ML-,"D(L),M(L)",England,br,EPL,9,0,2,1,0,0,0,0,Alex Telles,Alex Nicolao,Telles,125793,Defender,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.971111111111111,692,2,68
190,79,27,false,true,-DC-DMC-,"D(C),DMC",England,tr,EPL,16,0,0,0,0,0,0,1,Okay Yokuslu,Okay,Yokuslu,93805,Midfielder,175,West Bromwich Albion,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.96375,1319,1,69
175,70,24,false,true,-AML-AMR-,AM(LR),England,gb-eng,EPL,36,0,3,1,1,0,0,4,Jack Harrison,Jack,Harrison,317896,Midfielder,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.962777777777777,2858,8,70
175,69,25,false,true,-AMC-AML-AMR-,AM(CLR),England,br,EPL,33,0,1,0,1,0,0,4,Matheus Pereira,Matheus Fellipe,Costa Pereira,297389,Forward,175,West Bromwich Albion,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.960909090909091,2582,6,71
195,90,29,false,true,-DC-,D(C),England,cm,EPL,10,0,0,0,1,0,0,1,Joel Matip,Joel,Matip,74341,Defender,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.955,693,2,72
179,76,28,false,true,-DR-MR-,"D(R),M(R)",England,cz,EPL,34,0,4,0,0,0,0,3,Vladimir Coufal,Vladimir,Coufal,111372,Defender,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.950000000000001,3055,7,73
187,84,25,false,true,-MC-,M(C),England,dk,EPL,38,0,0,0,1,0,0,3,Pierre-Emile Højbjerg,Pierre-Emile,Højbjerg,101859,Midfielder,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.946315789473684,3420,4,74
185,72,29,false,true,-DC-DR-MR-,"D(CR),M(R)",England,gb-eng,EPL,38,0,0,0,0,0,0,0,Luke Ayling,Luke,Ayling,82877,Defender,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.942368421052633,3400,0,75
190,76,35,false,true,-GK-,GK,England,gb-eng,EPL,1,0,0,0,0,0,0,0,Scott Carson,Scott,Carson,8155,Goalkeeper,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.94,90,0,76
182,82,21,false,true,-DMC-DR-MR-,"D(R),DMC,M(R)",England,gb-eng,EPL,32,0,2,1,0,0,0,0,Reece James,Reece,James,361330,Defender,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.9399999999999995,2367,2,77
183,83,29,false,true,-DMC-,DMC,England,es,EPL,21,0,0,0,0,0,0,1,Oriol Romeu,Oriol,Romeu,90780,Midfielder,18,Southampton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.931904761904762,1768,1,78
185,0,23,false,true,-DR-MC-ML-MR-,"D(R),M(CLR)",England,gb-eng,EPL,28,0,1,0,0,0,0,1,Matthew Cash,Matthew,Cash,322043,Defender,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.931785714285712,2380,2,79
193,88,24,false,true,-DC-DMC-,"D(C),DMC",England,gb-sct,EPL,32,0,0,0,0,0,0,1,Scott McTominay,Scott,McTominay,336915,Midfielder,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.930624999999999,2128,1,80
193,83,30,false,true,-DC-,D(C),England,eg,EPL,1,0,0,0,0,0,0,0,Ahmed Hegazi,Ahmed El-Sayed,Hegazi,108724,Defender,175,West Bromwich Albion,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.93,90,0,81
180,74,31,false,true,-DC-DL-,D(CL),England,gb-eng,EPL,30,0,0,0,0,0,0,0,Ben Mee,Ben,Mee,94935,Defender,184,Burnley,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.926,2694,0,82
0,0,19,false,true,,Forward,England,se,EPL,2,0,0,0,0,0,0,0,Anthony Elanga,Anthony,Elanga,413211,Forward,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.925000000000001,156,0,83
169,64,28,false,true,-MC-,M(C),England,br,EPL,30,0,0,0,0,0,0,0,Fred,Frederico,Rodrigues de Paula Santos,114397,Midfielder,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.920666666666666,2397,0,84
185,80,23,false,true,-DC-DR-,D(CR),England,nl,EPL,1,0,0,0,0,0,0,0,Timothy Fosu-Mensah,Timothy,Fosu-Mensah,312739,Defender,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.92,81,0,85
178,76,31,false,true,-DC-DL-DR-MR-,"D(CLR),M(R)",England,es,EPL,26,0,0,0,0,0,0,2,César Azpilicueta,César,Azpilicueta,25931,Defender,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.916153846153845,2191,2,86
174,71,23,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,gb-eng,EPL,34,0,2,1,0,0,0,2,Ademola Lookman,Ademola,Lookman,299451,Forward,170,Fulham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.9152941176470595,2756,4,87
191,82,28,false,true,-DC-DR-,D(CR),England,gb-eng,EPL,35,0,0,0,0,0,0,1,Michael Keane,Michael,Keane,107941,Defender,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.915142857142858,2990,1,88
186,76,24,false,true,-DC-,D(C),England,pt,EPL,32,0,0,0,0,0,0,0,Rúben Dias,Rúben Santos,Gato Alves Dias,313171,Defender,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.909687499999998,2845,0,89
183,79,36,false,true,-DC-,D(C),England,br,EPL,23,0,0,0,0,0,0,0,Thiago Silva,Thiago Emiliano,da Silva,28550,Defender,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.906956521739128,1938,0,90
190,76,30,false,true,-FW-,FW,England,mx,EPL,10,0,0,0,0,0,0,0,Raúl Jiménez,Raúl,Jiménez,108186,Forward,161,Wolverhampton Wanderers,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.905999999999999,825,0,91
193,74,21,false,true,-GK-,GK,England,fr,EPL,35,0,0,0,0,0,0,0,Illan Meslier,Illan,Meslier,380580,Goalkeeper,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.905714285714286,3150,0,92
186,75,27,false,true,-DC-DMC-,"D(C),DMC",England,es,EPL,15,0,0,0,0,0,0,0,Diego Llorente,Diego,Llorente,123232,Defender,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.903333333333333,1206,0,93
183,70,25,false,true,-DL-ML-,"D(L),M(L)",England,gb-eng,EPL,38,0,1,1,0,0,0,0,Matt Targett,Matt,Targett,136776,Defender,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.902631578947369,3405,2,94
188,84,30,false,true,-DC-DL-ML-,"D(CL),M(L)",England,es,EPL,13,0,0,0,0,0,0,0,Marcos Alonso,Marcos,Alonso,84008,Defender,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.8999999999999995,960,0,95
177,67,27,false,true,-DL-DR-MR-,"D(LR),M(R)",England,pt,EPL,34,0,0,0,0,0,0,1,Nélson Semedo,Nélson,Cabral Semedo,296363,Defender,161,Wolverhampton Wanderers,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.8994117647058815,2988,1,96
178,68,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,pt,EPL,19,0,0,0,0,0,0,0,Diogo Jota,Diogo José,Teixeira da Silva,235755,Forward,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.893684210526317,1113,0,97
199,98,28,false,true,-DC-,D(C),England,dk,EPL,30,0,0,0,0,0,0,0,Jannik Vestergaard,Jannik,Vestergaard,87182,Defender,18,Southampton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.892333333333335,2575,0,98
179,70,27,false,true,-DL-ML-,"D(L),M(L)",England,cd,EPL,12,0,1,0,0,0,0,1,Arthur Masuaku,Arthur,Masuaku,122980,Defender,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.890833333333333,1011,2,99
175,73,30,false,true,-FW-ML-MR-,"M(LR),FW",England,fr,EPL,31,0,0,0,1,0,0,1,Alexandre Lacazette,Alexandre,Lacazette,73078,Forward,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.887096774193549,1931,2,100
181,77,29,false,true,-AML-AMR-FW-,"AM(LR),FW",England,gb-eng,EPL,34,0,5,1,0,1,0,0,Andros Townsend,Andros,Townsend,71522,Midfielder,162,Crystal Palace,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.884999999999998,2259,5,101
178,68,26,false,true,-MC-,M(C),England,gb-sct,EPL,37,0,0,0,1,0,0,4,John McGinn,John,McGinn,318449,Midfielder,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.884324324324322,3330,5,102
180,66,28,false,true,-AML-AMR-FW-,"AM(LR),FW",England,ci,EPL,30,0,0,0,1,0,0,1,Wilfried Zaha,Wilfried,Zaha,85059,Forward,162,Crystal Palace,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.883666666666666,2614,2,103
